Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Ssangyong,DEMO,Automatic,AWD,Diesel,SUV, 4 , 7 ,4 , 2.2 ,White ,2022,5595.0,51990.0,8.7,100.0
MG,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.5 ,Black ,2022,16.0,19990.0,6.7,100.0
BMW,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,4 , 2 ,Grey ,2022,8472.0,108988.0,6.6,100.0
Mercedes-Benz,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,8 , 5.5 ,White ,2011,136517.0,32990.0,11.0,100.0
Renault,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.3 ,Grey ,2022,1035.0,34990.0,6.0,100.0
Toyota,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,Grey ,2004,160230.0,9990.0,7.68,100.0
Land,USED,Automatic,AWD,Diesel,SUV, 2 , 4 ,4 , 2 ,White ,2017,67662.0,62280.0,5.1,100.0
Nissan,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Red ,2000,300539.0,2995.0,8.0,100.0
Toyota,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,4 , 2 ,Black ,2013,82012.0,24888.0,7.1,100.0
Honda,USED,Automatic,Front,Hybrid,Hatchback, 5 , 5 ,4 , 1.3 ,Blue ,2014,38229.0,17900.0,4.5,100.0
Toyota,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,White ,2009,148190.0,42500.0,6.459999999999999,100.0
Toyota,USED,Automatic,Rear,Unleaded,Commercial, 4 , 2 ,4 , 2.7 ,White ,2018,16324.0,41999.0,9.8,100.0
Honda,USED,Automatic,Other,Unleaded,SUV, 4 , 5 ,4 , 2 ,Black ,2015,181745.0,11999.0,7.68,100.0
Toyota,USED,Automatic,Other,Other,SUV, 4 , 5 ,4 , 2 ,Silver ,2017,136296.0,38999.0,7.68,100.0
Toyota,USED,Automatic,Rear,Diesel,Commercial, 4 , 2 ,4 , 3 ,White ,2016,229829.0,27995.0,8.0,100.0
Volkswagen,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 1.4 ,White ,2012,55676.0,14999.0,6.2,100.0
BMW,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,4 , 2 ,Black ,2014,82624.0,24985.0,5.6,100.0
Mitsubishi,USED,Manual,Other,Other,Wagon, 4 , 5 ,4 , 2 ,Blue ,2013,120020.0,13999.0,7.68,100.0
BMW,USED,Automatic,Rear,Diesel,Hatchback, 5 , 5 ,4 , 2 ,Silver ,2011,95204.0,13999.0,5.4,100.0
Ford,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,3 , 1 ,White ,2014,76289.0,12400.0,5.4,100.0
